function,dimensions,observation_count,bound_profile,candidate_scheme,candidate_count,strategy,kappa,xi,query,submission_query,predicted_mean,predictive_std,acquisition_score,fitted_kernel,duplicate_at_6dp,experiment_status
6,5,31,standard,sobol,32768,ucb_kappa_0.1,0.1,,"[0.446846,0.197017,0.58178,0.91462,0.045843]",0.446846-0.197017-0.581780-0.914620-0.045843,-0.4885054080746044,0.16763277410578953,-0.4717421306640255,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,standard,sobol,32768,ucb_kappa_0.5,0.5,,"[0.339497,0.165391,0.559894,0.984329,0.015658]",0.339497-0.165391-0.559894-0.984329-0.015658,-0.5226651007879328,0.2366257258160194,-0.40435223787992314,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,standard,sobol,32768,ucb_kappa_1,1.0,,"[0.339497,0.165391,0.559894,0.984329,0.015658]",0.339497-0.165391-0.559894-0.984329-0.015658,-0.5226651007879328,0.2366257258160194,-0.28603937497191345,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,standard,sobol,32768,ucb_kappa_2,2.0,,"[0.020895,0.017743,0.626419,0.98131,0.038662]",0.020895-0.017743-0.626419-0.981310-0.038662,-0.8077396708549984,0.43144558169036756,0.0551514925257367,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,standard,sobol,32768,expected_improvement_xi_0.01,,0.01,"[0.446846,0.197017,0.58178,0.91462,0.045843]",0.446846-0.197017-0.581780-0.914620-0.045843,-0.4885054080746044,0.16763277410578953,0.2236033091835975,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,wide,sobol,32768,ucb_kappa_0.1,0.1,,"[0.446846,0.197017,0.58178,0.91462,0.045843]",0.446846-0.197017-0.581780-0.914620-0.045843,-0.4884735467163337,0.167618068442219,-0.4717117398721118,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,wide,sobol,32768,ucb_kappa_0.5,0.5,,"[0.339497,0.165391,0.559894,0.984329,0.015658]",0.339497-0.165391-0.559894-0.984329-0.015658,-0.5226196208029324,0.2366103924835469,-0.404314424561159,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,wide,sobol,32768,ucb_kappa_1,1.0,,"[0.339497,0.165391,0.559894,0.984329,0.015658]",0.339497-0.165391-0.559894-0.984329-0.015658,-0.5226196208029324,0.2366103924835469,-0.2860092283193856,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,wide,sobol,32768,ucb_kappa_2,2.0,,"[0.020895,0.017743,0.626419,0.98131,0.038662]",0.020895-0.017743-0.626419-0.981310-0.038662,-0.8076920322840916,0.4314441896730852,0.055196347062078766,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
6,5,31,wide,sobol,32768,expected_improvement_xi_0.01,,0.01,"[0.446846,0.197017,0.58178,0.91462,0.045843]",0.446846-0.197017-0.581780-0.914620-0.045843,-0.4884735467163337,0.167618068442219,0.2236294541354274,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",False,sensitivity_only_not_submitted
